Financial Institution Name,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1
LASALLE BANK NATIONAL ASSOCIATION,180.892,167.997,167.68,169.631,169.341,169.632,161.31,163.519,163.912,163.248,156.434,156.592,153.97,139.246,136.534,133.52,130.712,124.041,112.306,109.001,105.918,101.083,112.448,106.271,103.45,109.912,106.679,99.252,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M&I BANK OF SOUTHERN WISCONSIN,7.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M&I MARSHALL & ILSLEY BANK,52.38,92.157,91.88,85.98,79.346,76.947,86.395,87.234,84.41,96.0,96.931,106.261,102.835,103.854,96.803,97.494,99.461,98.16,94.894,85.484,81.584,69.29,68.843,66.534,63.28,68.665,70.51,75.669,74.287,90.539,93.331,81.119,68.8,80.048,95.796,126.355,134.837,177.925,187.446,207.012,208.331,211.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAINSOURCE BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,5.723,8.655,8.141,12.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANUFACTURERS AND TRADERS TRUST COMPANY,354.213,350.903,354.548,355.444,299.684,292.42,380.141,373.113,387.258,488.039,484.547,496.103,379.332,385.891,396.155,290.593,283.419,321.198,302.572,298.845,334.552,341.262,345.114,298.823,351.87,355.395,414.792,338.143,363.28,368.635,343.05,389.975,368.223,361.168,361.989,344.182,351.962,307.042,326.449,298.465,320.347,342.838,362.512,328.999,350.939,322.453,316.613,275.878,262.351,224.839,151.04,136.645,166.668,169.094,155.509,155.356,158.006,143.137,115.966,121.796,122.11,123.975,136.903,133.752,151.324,137.554,83.071,102.366,112.133,107.35,99.03,107.682,114.291
"MB FINANCIAL BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,1.141,1.121,3.432,3.32,7.156,5.826,5.633,57.984,63.35,62.828,66.044,73.146,72.326,77.835,166.714,179.973,169.82,168.317,198.221,312.101,335.228,365.885,383.055,371.073,380.31,396.34,427.901,449.104,506.063,520.658,527.844,517.566,510.764,494.219,543.764,531.053,539.569,527.128,545.029,361.783,366.138,387.892,391.468,361.443,352.672,313.27,306.464,314.33,332.15,343.159,357.253,336.172
"MELLON BANK, N.A.",171.293,138.697,160.615,11.016,8.803,7.508,7.214,6.969,6.546,28.264,5.854,5.498,3.592,3.303,3.008,2.708,2.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHIGAN NATIONAL BANK,11.745,11.33,12.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZUHO BANK (USA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.349,75.349,75.349,75.349,75.349,75.349,75.349,75.349,0.0,0.0,0.0,46.512,46.512,46.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZUHO CORPORATE BANK (USA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.272,0.0,33.467,28.264,28.106,27.325,27.252,21.358,20.441,19.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.767,69.767,74.419,75.349,75.349,75.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,59.0,1558.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MORGAN STANLEY BANK, N.A.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,103.0,103.0
"MUFG UNION BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.283,208.522,168.905,166.713,178.902,134.626,112.014,94.452,117.248,99.9,80.369,566.001,559.263,553.647,596.083,672.471,620.177,515.296,512.159
NATIONAL BANK OF ARIZONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.724,4.041,3.897,3.781,3.725,3.465,3.337,3.225,3.172,3.027,2.622,2.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK,56.168,45.542,47.447,46.777,41.365,46.269,45.32,48.197,48.757,48.656,46.736,43.652,48.013,53.48,54.505,63.978,69.931,83.589,73.879,77.171,86.408,92.019,337.427,270.369,285.741,275.558,283.979,264.109,273.014,272.889,271.228,227.482,231.444,252.551,251.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK OF INDIANA,31.001,29.902,28.632,28.922,27.709,26.778,24.991,31.601,41.28,44.316,43.953,68.384,60.554,68.611,67.227,59.914,49.985,40.3,48.189,39.974,42.521,43.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK OF KENTUCKY,2.745,2.683,2.998,2.713,2.947,3.425,8.715,8.726,9.199,8.812,4.106,10.646,6.132,5.937,6.237,8.311,10.585,10.758,9.184,7.725,9.0,7.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK OF MICHIGAN/ILLINOIS,233.342,232.083,241.6,254.192,255.313,277.04,290.969,306.871,314.232,309.803,298.282,281.747,270.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK OF MINNEAPOLIS,6.942,8.917,8.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK OF PENNSYLVANIA,25.078,24.144,26.513,25.393,21.102,23.192,25.937,18.773,20.611,18.691,16.723,16.908,20.003,22.018,20.48,20.528,25.088,28.077,25.736,25.734,27.19,28.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATIONAL CITY BANK OF THE MIDWEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.944,240.294,215.922,160.386,152.49,130.39,126.846,129.387,126.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH FORK BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.635,64.185,63.683,63.201,244.634,268.004,287.355,474.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTHERN TRUST BANK OF FLORIDA N.A.,3.743,3.646,3.643,3.932,4.132,4.08,4.08,6.425,6.425,6.37,6.795,8.434,8.836,9.013,9.006,6.375,6.105,10.575,10.444,10.142,10.0,9.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NORTHERN TRUST COMPANY, THE",91.692,91.545,91.859,88.706,94.721,99.296,95.183,131.474,119.026,100.288,98.027,179.485,86.003,85.777,98.97,101.579,95.832,98.315,83.208,77.755,79.892,107.277,104.853,99.219,86.799,86.664,86.064,82.43,78.471,115.285,159.949,144.033,109.906,134.735,136.001,135.113,131.109,152.943,161.438,105.152,101.531,101.816,139.702,149.311,148.96,148.105,145.784,120.481,138.306,153.198,148.568,118.675,116.986,90.947,91.584,78.707,76.449,85.0,84.182,77.143,74.463,74.637,70.596,56.923,64.569,75.356,80.77,49.154,44.29,44.737,44.064,44.723,39.277
"NORTHERN TRUST, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.561,9.351,9.808,9.228,9.084,8.714,8.651,8.335,5.819,5.419,5.351,5.44,5.873,9.384,19.529,19.275,19.206,19.959,4.632,4.31,14.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD KENT BANK,129.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD NATIONAL BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.884,91.333,73.754,83.198,84.276,99.074,95.964,104.82,114.685,124.88,127.41,149.218,190.556,199.059,182.542,175.512,164.898,161.175,156.073,165.225,158.97,163.425,161.533,165.469,161.429,174.506,181.263,177.74,182.426,202.964,238.213,229.17,298.598,308.093,310.829,329.589,328.938,333.417,358.232,359.385,378.497,393.337,393.655,384.869,384.875,392.992,393.503,378.458,376.239,360.26,418.287,413.58,409.56,395.339,485.861,453.212
PEOPLE'S TRUST COMPANY,6.206,6.095,5.605,5.413,4.933,4.819,4.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEOPLE'S UNITED BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.609,96.633,152.143,141.341,138.798,82.927,134.862,132.604,127.944,80.578,131.48,120.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAINSCAPITAL BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.052,0.945,0.311,0.301,6.447,0.265,0.321,0.237,0.355,0.215,0.184,0.528,0.394,0.122,0.0,0.0,0.0,0.0,0.042,0.042,0.0,0.0,0.23,0.057,0.0,0.45,0.795,0.568,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PNC BANK, NATIONAL ASSOCIATION",559.798,539.683,512.155,488.985,506.951,496.056,479.821,427.106,453.257,407.375,406.695,365.929,442.177,460.258,519.247,445.79,500.972,689.813,876.757,946.002,842.254,672.281,672.94,670.482,737.271,752.309,946.685,926.424,983.626,988.668,1086.201,1011.407,1089.395,1059.666,1268.916,1544.164,1764.065,1783.497,2052.281,2771.673,2992.029,3552.308,3873.653,4558.26,6043.34,6772.388,7841.853,9237.308,9749.405,10390.212,10846.652,11493.839,11928.782,12451.715,12717.934,13146.452,12956.233,13355.929,13117.778,12698.683,12412.562,12588.951,12578.392,12736.243,12910.531,13289.869,12930.261,13117.022,13098.043,12458.535,11820.501,11078.792,10971.042
"PROVIDENT BANK, THE",0.336,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RAYMOND JAMES BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.686,29.742,61.967,349.773,365.348,464.778,512.171,591.447,682.64,701.219,808.206,802.279,937.586,969.526,1088.966,1127.769,1147.155,1182.337,1245.323,1243.1
RBC BANK (USA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.97,915.547,1035.772,1043.571,977.615,974.628,1026.88,972.503,969.01,998.002,1050.658,1026.446,1109.872,1100.622,1112.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBC CENTURA BANK,0.0,0.0,0.0,30.755,28.831,23.949,28.35,29.186,48.346,63.384,62.042,83.709,100.151,134.598,160.876,217.716,249.901,321.274,348.24,359.466,364.851,393.134,430.574,479.369,506.482,530.924,546.678,626.369,677.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RBS CITIZENS, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.511,119.338,137.499,152.328,171.746,147.71,169.93,83.963,88.438,75.863,87.673,60.728,75.697,50.688,41.601,50.919,52.035,48.338,45.756,52.301,50.649,37.062,45.778,37.334,30.786,34.792,29.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONS BANK,271.534,256.397,256.42,257.228,258.768,256.308,270.25,267.765,277.151,270.012,251.856,222.524,217.666,217.175,226.098,208.806,187.356,442.4,462.9,425.662,445.777,428.69,415.211,506.778,527.049,592.226,592.181,584.878,434.797,423.294,484.887,554.062,880.264,1013.255,1172.443,1009.18,984.802,902.373,1001.151,1117.547,1158.082,1114.483,1161.4,1167.645,1040.743,1041.482,1030.393,992.638,972.654,934.642,918.721,895.229,847.491,787.031,805.713,1723.305,1795.666,2303.64,2480.736,2672.086,2634.126,3588.175,3590.738,3525.723,3503.913,3785.468,4002.614,4218.142,4346.563,4467.908,4629.29,4777.438,4858.0
RIGGS BANK NATIONAL ASSOCIATION,132.499,131.562,130.653,129.671,128.65,131.135,167.883,165.133,164.135,161.808,168.799,175.203,170.987,160.747,187.048,185.278,184.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SANTANDER BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.442,14.227,14.056,13.438,4.566,4.4,1.496,1.367,5.915,425.074,500.311,556.092,577.578,567.835,593.793,604.434,648.552,660.985,679.575,683.821,736.276,707.01
SANWA BANK CALIFORNIA,22.029,23.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHTRUST BANK,64.45,64.861,73.85,80.714,74.992,74.204,77.965,68.999,56.101,56.802,50.066,37.66,24.414,33.885,33.952,29.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SOUTHWEST BANK OF TEXAS, N.A.",0.0,0.0,8.405,20.716,21.058,22.483,23.337,31.257,34.097,30.108,19.963,26.304,33.575,37.963,37.419,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SOVEREIGN BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.986,15.187,14.979,14.7,15.146,14.976,14.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
